abbreviation	description	formula	subsystem	ecnumber	keggId	keggorthology	cog	seed	metanetx
biomass020	Biomass0	0.0079397 10fthf[c] + 0.0079397 2dmmq8[c] + 0.0079397 5mthf[c] + 0.0079397 ACP[c] + 0.0079397 adocbl[c] + 0.0018061 ai17tca1[c] + 0.0018061 ai17tcaacgam[c] + 0.0018061 ai17tcaala_D[c] + 0.0018061 ai17tcaglc[c] + 0.26756 ala_L[c] + 0.0079397 amet[c] + 0.1934 arg_L[c] + 0.14833 asn_L[c] + 0.14833 asp_L[c] + 41.2914 atp[c] + 0.0079397 ca2[c] + 0.0079397 cl[c] + 0.0085871 clpn180[c] + 0.0085871 clpnai17[c] + 0.0085871 clpni17[c] + 0.0079397 coa[c] + 0.0079397 cobalt2[c] + 0.026124 ctp[c] + 0.0079397 cu2[c] + 0.056954 cys_L[c] + 0.018854 datp[c] + 0.0080249 dctp[c] + 0.0080249 dgtp[c] + dnarep[c] + 0.018854 dttp[c] + 0.0079397 fad[c] + 0.0079397 fe2[c] + 0.0079397 fe3[c] + 0.26101 gln_L[c] + 0.26101 glu_L[c] + 0.40933 gly[c] + 0.0018061 glyc45tca[c] + 0.0018061 glyc45tcaala_D[c] + 0.0018061 glyc45tcaglc[c] + 0.0079397 gthrd[c] + 0.042403 gtp[c] + 41.257 h[c] + 0.081948 his_L[c] + 0.0018061 i17tca1[c] + 0.0018061 i17tcaacgam[c] + 0.0018061 i17tcaala_D[c] + 0.0018061 i17tcaglc[c] + 0.27043 ile_L[c] + 0.0079397 k[c] + 0.34746 leu_L[c] + 0.3237 lys_L[c] + 0.1135 met_L[c] + 0.0079397 mg2[c] + 0.0079397 mn2[c] + 0.0079397 mqn8[c] + 0.0079397 nad[c] + 0.0079397 nadp[c] + 0.0085871 pe180[c] + 0.0085871 peai17[c] + 0.0085871 pei17[c] + 0.0085871 pg180[c] + 0.0085871 pgai17[c] + 0.0085871 pgi17[c] + 0.0018061 PGP[c] + 0.0079397 pheme[c] + 0.17619 phe_L[c] + proteinsynth[c] + 0.16103 pro_L[c] + 0.0079397 ptrc[c] + 0.0079397 pydx5p[c] + 0.0079397 q8[c] + 0.0079397 ribflv[c] + rnatrans[c] + 0.21675 ser_L[c] + 0.0079397 sheme[c] + 0.0079397 so4[c] + 0.0079397 spmd[c] + 0.0018061 sttca1[c] + 0.0018061 sttcaacgam[c] + 0.0018061 sttcaala_D[c] + 0.0018061 sttcaglc[c] + 0.0018061 tcam[c] + 0.0079397 thf[c] + 0.0079397 thmpp[c] + 0.18684 thr_L[c] + 0.054496 trp_L[c] + 0.11104 tyr_L[c] + 0.0018061 udcpdp[c] + 0.028225 utp[c] + 0.30772 val_L[c] + 0.0079397 zn2[c] -> 41.257 adp[c] + 0.0079397 apoACP[c] + biomass[c] + 0.0079397 cbi[c] + 0.0079397 dmbzid[c] + 45.354 h2o[c] + 0.0072242 PGPm1[c] + 41.2491 pi[c] + 0.1849 ppi[c] 							
biomass372	Biomass0	0.0030965 10fthf[c] + 0.0030965 2dmmq8[c] + 0.0030965 5mthf[c] + 0.0030965 ACP[c] + 0.0030965 adocbl[c] + 0.42793 ala_L[c] + 0.0030965 amet[c] + 0.2467 arg_L[c] + 0.20083 asn_L[c] + 0.20083 asp_L[c] + 40.1102 atp[c] + 0.0030965 ca2[c] + 0.0030965 cl[c] + 0.010648 clpn180[c] + 0.010648 clpnai17[c] + 0.010648 clpni17[c] + 0.0030965 coa[c] + 0.0030965 cobalt2[c] + 0.025011 colipa[c] + 0.084104 ctp[c] + 0.0030965 cu2[c] + 0.076146 cys_L[c] + 0.015022 datp[c] + 0.017018 dctp[c] + 0.017018 dgtp[c] + dnarep[c] + 0.015022 dttp[c] + 0.0030965 fad[c] + 0.0030965 fe2[c] + 0.0030965 fe3[c] + 0.21909 gln_L[c] + 0.21909 glu_L[c] + 0.50987 gly[c] + 0.0030965 gthrd[c] + 0.13541 gtp[c] + 35.5403 h2o[c] + 0.079264 his_L[c] + 0.2418 ile_L[c] + 0.0030965 k[c] + 0.37539 leu_L[c] + 0.28544 lys_L[c] + 0.1278 met_L[c] + 0.0030965 mg2[c] + 0.0030965 mn2[c] + 0.0030965 mqn8[c] + 0.0030965 nad[c] + 0.0030965 nadp[c] + 0.010648 pe180[c] + 0.010648 peai17[c] + 0.010648 pei17[c] + 0.010648 pg180[c] + 0.010648 pgai17[c] + 0.010648 pgi17[c] + 0.025011 PGP[c] + 0.0030965 pheme[c] + 0.15452 phe_L[c] + proteinsynth[c] + 0.18435 pro_L[c] + 0.0030965 ptrc[c] + 0.0030965 pydx5p[c] + 0.0030965 q8[c] + 0.0030965 ribflv[c] + rnatrans[c] + 0.17946 ser_L[c] + 0.0030965 sheme[c] + 0.0030965 so4[c] + 0.0030965 spmd[c] + 0.0030965 thf[c] + 0.0030965 thmpp[c] + 0.21107 thr_L[c] + 0.047202 trp_L[c] + 0.12068 tyr_L[c] + 0.025011 udcpdp[c] + 0.090832 utp[c] + 0.35223 val_L[c] + 0.0030965 zn2[c] -> 40.0 adp[c] + 0.0030965 apoACP[c] + biomass[c] + 0.0030965 cbi[c] + 0.0030965 dmbzid[c] + 40.0 h[c] + 0.025011 PGPm1[c] + 39.9969 pi[c] + 0.4846 ppi[c] 							
biomass339	Biomass0	0.0030965 10fthf[c] + 0.0030965 2dmmq8[c] + 0.0030965 5mthf[c] + 0.0030965 ACP[c] + 0.0030965 adocbl[c] + 0.42793 ala_L[c] + 0.0030965 amet[c] + 0.2467 arg_L[c] + 0.20083 asn_L[c] + 0.20083 asp_L[c] + 40.1102 atp[c] + 0.0030965 ca2[c] + 0.0030965 cl[c] + 0.010648 clpn180[c] + 0.010648 clpnai17[c] + 0.010648 clpni17[c] + 0.0030965 coa[c] + 0.0030965 cobalt2[c] + 0.025011 colipa[c] + 0.084104 ctp[c] + 0.0030965 cu2[c] + 0.076146 cys_L[c] + 0.016257 datp[c] + 0.015784 dctp[c] + 0.015784 dgtp[c] + dnarep[c] + 0.016257 dttp[c] + 0.0030965 fad[c] + 0.0030965 fe2[c] + 0.0030965 fe3[c] + 0.21909 gln_L[c] + 0.21909 glu_L[c] + 0.50987 gly[c] + 0.0030965 gthrd[c] + 0.13541 gtp[c] + 35.5403 h2o[c] + 0.079264 his_L[c] + 0.2418 ile_L[c] + 0.0030965 k[c] + 0.37539 leu_L[c] + 0.28544 lys_L[c] + 0.1278 met_L[c] + 0.0030965 mg2[c] + 0.0030965 mn2[c] + 0.0030965 mqn8[c] + 0.0030965 nad[c] + 0.0030965 nadp[c] + 0.010648 pe180[c] + 0.010648 peai17[c] + 0.010648 pei17[c] + 0.010648 pg180[c] + 0.010648 pgai17[c] + 0.010648 pgi17[c] + 0.025011 PGP[c] + 0.0030965 pheme[c] + 0.15452 phe_L[c] + proteinsynth[c] + 0.18435 pro_L[c] + 0.0030965 ptrc[c] + 0.0030965 pydx5p[c] + 0.0030965 q8[c] + 0.0030965 ribflv[c] + rnatrans[c] + 0.17946 ser_L[c] + 0.0030965 sheme[c] + 0.0030965 so4[c] + 0.0030965 spmd[c] + 0.0030965 thf[c] + 0.0030965 thmpp[c] + 0.21107 thr_L[c] + 0.047202 trp_L[c] + 0.12068 tyr_L[c] + 0.025011 udcpdp[c] + 0.090832 utp[c] + 0.35223 val_L[c] + 0.0030965 zn2[c] -> 40.0 adp[c] + 0.0030965 apoACP[c] + biomass[c] + 0.0030965 cbi[c] + 0.0030965 dmbzid[c] + 40.0 h[c] + 0.025011 PGPm1[c] + 39.9969 pi[c] + 0.4846 ppi[c] 							
biomass286	Biomass0	0.0030965 10fthf[c] + 0.0030965 2dmmq8[c] + 0.0030965 5mthf[c] + 0.0030965 ACP[c] + 0.0030965 adocbl[c] + 0.42793 ala_L[c] + 0.0030965 amet[c] + 0.2467 arg_L[c] + 0.20083 asn_L[c] + 0.20083 asp_L[c] + 40.1102 atp[c] + 0.0030965 ca2[c] + 0.0030965 cl[c] + 0.010648 clpn180[c] + 0.010648 clpnai17[c] + 0.010648 clpni17[c] + 0.0030965 coa[c] + 0.0030965 cobalt2[c] + 0.025011 colipa[c] + 0.084104 ctp[c] + 0.0030965 cu2[c] + 0.076146 cys_L[c] + 0.018619 datp[c] + 0.013425 dctp[c] + 0.013425 dgtp[c] + dnarep[c] + 0.018619 dttp[c] + 0.0030965 fad[c] + 0.0030965 fe2[c] + 0.0030965 fe3[c] + 0.21909 gln_L[c] + 0.21909 glu_L[c] + 0.50987 gly[c] + 0.0030965 gthrd[c] + 0.13541 gtp[c] + 35.5403 h2o[c] + 0.079264 his_L[c] + 0.2418 ile_L[c] + 0.0030965 k[c] + 0.37539 leu_L[c] + 0.28544 lys_L[c] + 0.1278 met_L[c] + 0.0030965 mg2[c] + 0.0030965 mn2[c] + 0.0030965 mqn8[c] + 0.0030965 nad[c] + 0.0030965 nadp[c] + 0.010648 pe180[c] + 0.010648 peai17[c] + 0.010648 pei17[c] + 0.010648 pg180[c] + 0.010648 pgai17[c] + 0.010648 pgi17[c] + 0.025011 PGP[c] + 0.0030965 pheme[c] + 0.15452 phe_L[c] + proteinsynth[c] + 0.18435 pro_L[c] + 0.0030965 ptrc[c] + 0.0030965 pydx5p[c] + 0.0030965 q8[c] + 0.0030965 ribflv[c] + rnatrans[c] + 0.17946 ser_L[c] + 0.0030965 sheme[c] + 0.0030965 so4[c] + 0.0030965 spmd[c] + 0.0030965 thf[c] + 0.0030965 thmpp[c] + 0.21107 thr_L[c] + 0.047202 trp_L[c] + 0.12068 tyr_L[c] + 0.025011 udcpdp[c] + 0.090832 utp[c] + 0.35223 val_L[c] + 0.0030965 zn2[c] -> 40.0 adp[c] + 0.0030965 apoACP[c] + biomass[c] + 0.0030965 cbi[c] + 0.0030965 dmbzid[c] + 40.0 h[c] + 0.025011 PGPm1[c] + 39.9969 pi[c] + 0.48461 ppi[c] 							
biomass281	Biomass0	0.0030965 10fthf[c] + 0.0030965 2dmmq8[c] + 0.0030965 5mthf[c] + 0.0030965 ACP[c] + 0.0030965 adocbl[c] + 0.42793 ala_L[c] + 0.0030965 amet[c] + 0.2467 arg_L[c] + 0.20083 asn_L[c] + 0.20083 asp_L[c] + 40.1102 atp[c] + 0.0030965 ca2[c] + 0.0030965 cl[c] + 0.010648 clpn180[c] + 0.010648 clpnai17[c] + 0.010648 clpni17[c] + 0.0030965 coa[c] + 0.0030965 cobalt2[c] + 0.025011 colipa[c] + 0.084104 ctp[c] + 0.0030965 cu2[c] + 0.076146 cys_L[c] + 0.018725 datp[c] + 0.01332 dctp[c] + 0.01332 dgtp[c] + dnarep[c] + 0.018725 dttp[c] + 0.0030965 fad[c] + 0.0030965 fe2[c] + 0.0030965 fe3[c] + 0.21909 gln_L[c] + 0.21909 glu_L[c] + 0.50987 gly[c] + 0.0030965 gthrd[c] + 0.13541 gtp[c] + 35.5403 h2o[c] + 0.079264 his_L[c] + 0.2418 ile_L[c] + 0.0030965 k[c] + 0.37539 leu_L[c] + 0.28544 lys_L[c] + 0.1278 met_L[c] + 0.0030965 mg2[c] + 0.0030965 mn2[c] + 0.0030965 mqn8[c] + 0.0030965 nad[c] + 0.0030965 nadp[c] + 0.010648 pe180[c] + 0.010648 peai17[c] + 0.010648 pei17[c] + 0.010648 pg180[c] + 0.010648 pgai17[c] + 0.010648 pgi17[c] + 0.025011 PGP[c] + 0.0030965 pheme[c] + 0.15452 phe_L[c] + proteinsynth[c] + 0.18435 pro_L[c] + 0.0030965 ptrc[c] + 0.0030965 pydx5p[c] + 0.0030965 q8[c] + 0.0030965 ribflv[c] + rnatrans[c] + 0.17946 ser_L[c] + 0.0030965 sheme[c] + 0.0030965 so4[c] + 0.0030965 spmd[c] + 0.0030965 thf[c] + 0.0030965 thmpp[c] + 0.21107 thr_L[c] + 0.047202 trp_L[c] + 0.12068 tyr_L[c] + 0.025011 udcpdp[c] + 0.090832 utp[c] + 0.35223 val_L[c] + 0.0030965 zn2[c] -> 40.0 adp[c] + 0.0030965 apoACP[c] + biomass[c] + 0.0030965 cbi[c] + 0.0030965 dmbzid[c] + 40.0 h[c] + 0.025011 PGPm1[c] + 39.9969 pi[c] + 0.48461 ppi[c] 							
biomass081	Biomass0	0.0079397 10fthf[c] + 0.0079397 2dmmq8[c] + 0.0079397 5mthf[c] + 0.0079397 ACP[c] + 0.0079397 adocbl[c] + 0.0018061 ai17tca1[c] + 0.0018061 ai17tcaacgam[c] + 0.0018061 ai17tcaala_D[c] + 0.0018061 ai17tcaglc[c] + 0.26756 ala_L[c] + 0.0079397 amet[c] + 0.1934 arg_L[c] + 0.14833 asn_L[c] + 0.14833 asp_L[c] + 41.2914 atp[c] + 0.0079397 ca2[c] + 0.0079397 cl[c] + 0.0085871 clpn180[c] + 0.0085871 clpnai17[c] + 0.0085871 clpni17[c] + 0.0079397 coa[c] + 0.0079397 cobalt2[c] + 0.026124 ctp[c] + 0.0079397 cu2[c] + 0.056954 cys_L[c] + 0.017023 datp[c] + 0.009854 dctp[c] + 0.009854 dgtp[c] + dnarep[c] + 0.017023 dttp[c] + 0.0079397 fad[c] + 0.0079397 fe2[c] + 0.0079397 fe3[c] + 0.26101 gln_L[c] + 0.26101 glu_L[c] + 0.40933 gly[c] + 0.0018061 glyc45tca[c] + 0.0018061 glyc45tcaala_D[c] + 0.0018061 glyc45tcaglc[c] + 0.0079397 gthrd[c] + 0.042403 gtp[c] + 41.257 h[c] + 0.081948 his_L[c] + 0.0018061 i17tca1[c] + 0.0018061 i17tcaacgam[c] + 0.0018061 i17tcaala_D[c] + 0.0018061 i17tcaglc[c] + 0.27043 ile_L[c] + 0.0079397 k[c] + 0.34746 leu_L[c] + 0.3237 lys_L[c] + 0.1135 met_L[c] + 0.0079397 mg2[c] + 0.0079397 mn2[c] + 0.0079397 mqn8[c] + 0.0079397 nad[c] + 0.0079397 nadp[c] + 0.0085871 pe180[c] + 0.0085871 peai17[c] + 0.0085871 pei17[c] + 0.0085871 pg180[c] + 0.0085871 pgai17[c] + 0.0085871 pgi17[c] + 0.0018061 PGP[c] + 0.0079397 pheme[c] + 0.17619 phe_L[c] + proteinsynth[c] + 0.16103 pro_L[c] + 0.0079397 ptrc[c] + 0.0079397 pydx5p[c] + 0.0079397 q8[c] + 0.0079397 ribflv[c] + rnatrans[c] + 0.21675 ser_L[c] + 0.0079397 sheme[c] + 0.0079397 so4[c] + 0.0079397 spmd[c] + 0.0018061 sttca1[c] + 0.0018061 sttcaacgam[c] + 0.0018061 sttcaala_D[c] + 0.0018061 sttcaglc[c] + 0.0018061 tcam[c] + 0.0079397 thf[c] + 0.0079397 thmpp[c] + 0.18684 thr_L[c] + 0.054496 trp_L[c] + 0.11104 tyr_L[c] + 0.0018061 udcpdp[c] + 0.028225 utp[c] + 0.30772 val_L[c] + 0.0079397 zn2[c] -> 41.257 adp[c] + 0.0079397 apoACP[c] + biomass[c] + 0.0079397 cbi[c] + 0.0079397 dmbzid[c] + 45.354 h2o[c] + 0.0072242 PGPm1[c] + 41.2491 pi[c] + 0.1849 ppi[c] 							
biomass121	Biomass0	0.0079397 10fthf[c] + 0.0079397 2dmmq8[c] + 0.0079397 5mthf[c] + 0.0079397 ACP[c] + 0.0079397 adocbl[c] + 0.0018061 ai17tca1[c] + 0.0018061 ai17tcaacgam[c] + 0.0018061 ai17tcaala_D[c] + 0.0018061 ai17tcaglc[c] + 0.26756 ala_L[c] + 0.0079397 amet[c] + 0.1934 arg_L[c] + 0.14833 asn_L[c] + 0.14833 asp_L[c] + 41.2914 atp[c] + 0.0079397 ca2[c] + 0.0079397 cl[c] + 0.0085871 clpn180[c] + 0.0085871 clpnai17[c] + 0.0085871 clpni17[c] + 0.0079397 coa[c] + 0.0079397 cobalt2[c] + 0.026124 ctp[c] + 0.0079397 cu2[c] + 0.056954 cys_L[c] + 0.016353 datp[c] + 0.010523 dctp[c] + 0.010523 dgtp[c] + dnarep[c] + 0.016353 dttp[c] + 0.0079397 fad[c] + 0.0079397 fe2[c] + 0.0079397 fe3[c] + 0.26101 gln_L[c] + 0.26101 glu_L[c] + 0.40933 gly[c] + 0.0018061 glyc45tca[c] + 0.0018061 glyc45tcaala_D[c] + 0.0018061 glyc45tcaglc[c] + 0.0079397 gthrd[c] + 0.042403 gtp[c] + 41.257 h[c] + 0.081948 his_L[c] + 0.0018061 i17tca1[c] + 0.0018061 i17tcaacgam[c] + 0.0018061 i17tcaala_D[c] + 0.0018061 i17tcaglc[c] + 0.27043 ile_L[c] + 0.0079397 k[c] + 0.34746 leu_L[c] + 0.3237 lys_L[c] + 0.1135 met_L[c] + 0.0079397 mg2[c] + 0.0079397 mn2[c] + 0.0079397 mqn8[c] + 0.0079397 nad[c] + 0.0079397 nadp[c] + 0.0085871 pe180[c] + 0.0085871 peai17[c] + 0.0085871 pei17[c] + 0.0085871 pg180[c] + 0.0085871 pgai17[c] + 0.0085871 pgi17[c] + 0.0018061 PGP[c] + 0.0079397 pheme[c] + 0.17619 phe_L[c] + proteinsynth[c] + 0.16103 pro_L[c] + 0.0079397 ptrc[c] + 0.0079397 pydx5p[c] + 0.0079397 q8[c] + 0.0079397 ribflv[c] + rnatrans[c] + 0.21675 ser_L[c] + 0.0079397 sheme[c] + 0.0079397 so4[c] + 0.0079397 spmd[c] + 0.0018061 sttca1[c] + 0.0018061 sttcaacgam[c] + 0.0018061 sttcaala_D[c] + 0.0018061 sttcaglc[c] + 0.0018061 tcam[c] + 0.0079397 thf[c] + 0.0079397 thmpp[c] + 0.18684 thr_L[c] + 0.054496 trp_L[c] + 0.11104 tyr_L[c] + 0.0018061 udcpdp[c] + 0.028225 utp[c] + 0.30772 val_L[c] + 0.0079397 zn2[c] -> 41.257 adp[c] + 0.0079397 apoACP[c] + biomass[c] + 0.0079397 cbi[c] + 0.0079397 dmbzid[c] + 45.354 h2o[c] + 0.0072242 PGPm1[c] + 41.2491 pi[c] + 0.1849 ppi[c] 							
biomass366	Biomass0	0.0030965 10fthf[c] + 0.0030965 2dmmq8[c] + 0.0030965 5mthf[c] + 0.0030965 ACP[c] + 0.0030965 adocbl[c] + 0.42793 ala_L[c] + 0.0030965 amet[c] + 0.2467 arg_L[c] + 0.20083 asn_L[c] + 0.20083 asp_L[c] + 40.1102 atp[c] + 0.0030965 ca2[c] + 0.0030965 cl[c] + 0.010648 clpn180[c] + 0.010648 clpnai17[c] + 0.010648 clpni17[c] + 0.0030965 coa[c] + 0.0030965 cobalt2[c] + 0.025011 colipa[c] + 0.084104 ctp[c] + 0.0030965 cu2[c] + 0.076146 cys_L[c] + 0.015462 datp[c] + 0.016579 dctp[c] + 0.016579 dgtp[c] + dnarep[c] + 0.015462 dttp[c] + 0.0030965 fad[c] + 0.0030965 fe2[c] + 0.0030965 fe3[c] + 0.21909 gln_L[c] + 0.21909 glu_L[c] + 0.50987 gly[c] + 0.0030965 gthrd[c] + 0.13541 gtp[c] + 35.5403 h2o[c] + 0.079264 his_L[c] + 0.2418 ile_L[c] + 0.0030965 k[c] + 0.37539 leu_L[c] + 0.28544 lys_L[c] + 0.1278 met_L[c] + 0.0030965 mg2[c] + 0.0030965 mn2[c] + 0.0030965 mqn8[c] + 0.0030965 nad[c] + 0.0030965 nadp[c] + 0.010648 pe180[c] + 0.010648 peai17[c] + 0.010648 pei17[c] + 0.010648 pg180[c] + 0.010648 pgai17[c] + 0.010648 pgi17[c] + 0.025011 PGP[c] + 0.0030965 pheme[c] + 0.15452 phe_L[c] + proteinsynth[c] + 0.18435 pro_L[c] + 0.0030965 ptrc[c] + 0.0030965 pydx5p[c] + 0.0030965 q8[c] + 0.0030965 ribflv[c] + rnatrans[c] + 0.17946 ser_L[c] + 0.0030965 sheme[c] + 0.0030965 so4[c] + 0.0030965 spmd[c] + 0.0030965 thf[c] + 0.0030965 thmpp[c] + 0.21107 thr_L[c] + 0.047202 trp_L[c] + 0.12068 tyr_L[c] + 0.025011 udcpdp[c] + 0.090832 utp[c] + 0.35223 val_L[c] + 0.0030965 zn2[c] -> 40.0 adp[c] + 0.0030965 apoACP[c] + biomass[c] + 0.0030965 cbi[c] + 0.0030965 dmbzid[c] + 40.0 h[c] + 0.025011 PGPm1[c] + 39.9969 pi[c] + 0.4846 ppi[c] 							
biomass038	Biomass0	0.0079397 10fthf[c] + 0.0079397 2dmmq8[c] + 0.0079397 5mthf[c] + 0.0079397 ACP[c] + 0.0079397 adocbl[c] + 0.0018061 ai17tca1[c] + 0.0018061 ai17tcaacgam[c] + 0.0018061 ai17tcaala_D[c] + 0.0018061 ai17tcaglc[c] + 0.26756 ala_L[c] + 0.0079397 amet[c] + 0.1934 arg_L[c] + 0.14833 asn_L[c] + 0.14833 asp_L[c] + 41.2914 atp[c] + 0.0079397 ca2[c] + 0.0079397 cl[c] + 0.0085871 clpn180[c] + 0.0085871 clpnai17[c] + 0.0085871 clpni17[c] + 0.0079397 coa[c] + 0.0079397 cobalt2[c] + 0.026124 ctp[c] + 0.0079397 cu2[c] + 0.056954 cys_L[c] + 0.018166 datp[c] + 0.0087122 dctp[c] + 0.0087122 dgtp[c] + dnarep[c] + 0.018166 dttp[c] + 0.0079397 fad[c] + 0.0079397 fe2[c] + 0.0079397 fe3[c] + 0.26101 gln_L[c] + 0.26101 glu_L[c] + 0.40933 gly[c] + 0.0018061 glyc45tca[c] + 0.0018061 glyc45tcaala_D[c] + 0.0018061 glyc45tcaglc[c] + 0.0079397 gthrd[c] + 0.042403 gtp[c] + 41.257 h[c] + 0.081948 his_L[c] + 0.0018061 i17tca1[c] + 0.0018061 i17tcaacgam[c] + 0.0018061 i17tcaala_D[c] + 0.0018061 i17tcaglc[c] + 0.27043 ile_L[c] + 0.0079397 k[c] + 0.34746 leu_L[c] + 0.3237 lys_L[c] + 0.1135 met_L[c] + 0.0079397 mg2[c] + 0.0079397 mn2[c] + 0.0079397 mqn8[c] + 0.0079397 nad[c] + 0.0079397 nadp[c] + 0.0085871 pe180[c] + 0.0085871 peai17[c] + 0.0085871 pei17[c] + 0.0085871 pg180[c] + 0.0085871 pgai17[c] + 0.0085871 pgi17[c] + 0.0018061 PGP[c] + 0.0079397 pheme[c] + 0.17619 phe_L[c] + proteinsynth[c] + 0.16103 pro_L[c] + 0.0079397 ptrc[c] + 0.0079397 pydx5p[c] + 0.0079397 q8[c] + 0.0079397 ribflv[c] + rnatrans[c] + 0.21675 ser_L[c] + 0.0079397 sheme[c] + 0.0079397 so4[c] + 0.0079397 spmd[c] + 0.0018061 sttca1[c] + 0.0018061 sttcaacgam[c] + 0.0018061 sttcaala_D[c] + 0.0018061 sttcaglc[c] + 0.0018061 tcam[c] + 0.0079397 thf[c] + 0.0079397 thmpp[c] + 0.18684 thr_L[c] + 0.054496 trp_L[c] + 0.11104 tyr_L[c] + 0.0018061 udcpdp[c] + 0.028225 utp[c] + 0.30772 val_L[c] + 0.0079397 zn2[c] -> 41.257 adp[c] + 0.0079397 apoACP[c] + biomass[c] + 0.0079397 cbi[c] + 0.0079397 dmbzid[c] + 45.354 h2o[c] + 0.0072242 PGPm1[c] + 41.2491 pi[c] + 0.1849 ppi[c] 							
AACPS1	Acyl-[acyl-carrier-protein] synthetase (n-C14:0)	ACP[c] + atp[c] + ttdca[c] -> amp[c] + myrsACP[c] + ppi[c] 	Fatty acid synthesis					rxn08014	MNXR50749
biomass306	Biomass0	0.0030965 10fthf[c] + 0.0030965 2dmmq8[c] + 0.0030965 5mthf[c] + 0.0030965 ACP[c] + 0.0030965 adocbl[c] + 0.42793 ala_L[c] + 0.0030965 amet[c] + 0.2467 arg_L[c] + 0.20083 asn_L[c] + 0.20083 asp_L[c] + 40.1102 atp[c] + 0.0030965 ca2[c] + 0.0030965 cl[c] + 0.010648 clpn180[c] + 0.010648 clpnai17[c] + 0.010648 clpni17[c] + 0.0030965 coa[c] + 0.0030965 cobalt2[c] + 0.025011 colipa[c] + 0.084104 ctp[c] + 0.0030965 cu2[c] + 0.076146 cys_L[c] + 0.017672 datp[c] + 0.014371 dctp[c] + 0.014371 dgtp[c] + dnarep[c] + 0.017672 dttp[c] + 0.0030965 fad[c] + 0.0030965 fe2[c] + 0.0030965 fe3[c] + 0.21909 gln_L[c] + 0.21909 glu_L[c] + 0.50987 gly[c] + 0.0030965 gthrd[c] + 0.13541 gtp[c] + 35.5403 h2o[c] + 0.079264 his_L[c] + 0.2418 ile_L[c] + 0.0030965 k[c] + 0.37539 leu_L[c] + 0.28544 lys_L[c] + 0.1278 met_L[c] + 0.0030965 mg2[c] + 0.0030965 mn2[c] + 0.0030965 mqn8[c] + 0.0030965 nad[c] + 0.0030965 nadp[c] + 0.010648 pe180[c] + 0.010648 peai17[c] + 0.010648 pei17[c] + 0.010648 pg180[c] + 0.010648 pgai17[c] + 0.010648 pgi17[c] + 0.025011 PGP[c] + 0.0030965 pheme[c] + 0.15452 phe_L[c] + proteinsynth[c] + 0.18435 pro_L[c] + 0.0030965 ptrc[c] + 0.0030965 pydx5p[c] + 0.0030965 q8[c] + 0.0030965 ribflv[c] + rnatrans[c] + 0.17946 ser_L[c] + 0.0030965 sheme[c] + 0.0030965 so4[c] + 0.0030965 spmd[c] + 0.0030965 thf[c] + 0.0030965 thmpp[c] + 0.21107 thr_L[c] + 0.047202 trp_L[c] + 0.12068 tyr_L[c] + 0.025011 udcpdp[c] + 0.090832 utp[c] + 0.35223 val_L[c] + 0.0030965 zn2[c] -> 40.0 adp[c] + 0.0030965 apoACP[c] + biomass[c] + 0.0030965 cbi[c] + 0.0030965 dmbzid[c] + 40.0 h[c] + 0.025011 PGPm1[c] + 39.9969 pi[c] + 0.4846 ppi[c] 							
