abbreviation,addedBy,biggId,charge,chargedFormula,cheBlId,cheBlId2,description,ehmnId,fullName,hepatonetId,hmdb,inchiString,keggId,lastModified,lmId,met_id,miriam,modifiedBy,neutralFormula,pdmapName,pubChemId,reconMap,smile,synonyms,url
2tdecg3p,,,-1,C17H34O7P1,[],,2-tetradecanoyl-sn-glycerol 3-phosphate,,2-tetradecanoyl-sn-glycerol 3-phosphate,,,,,2016-11-22T15:12:30Z,,3134,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3134/?format=pcsv
2tdec7eg3p,,,-1,C17H32O7P1,[],,2-tetradec-7-enoyl-sn-glycerol 3-phosphate,,2-tetradec-7-enoyl-sn-glycerol 3-phosphate,,,,,2016-11-22T15:12:30Z,,3135,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3135/?format=pcsv
2hdecg3p,,,-1,C19H38O7P1,[],,2-hexadecanoyl-sn-glycerol 3-phosphate,,2-hexadecanoyl-sn-glycerol 3-phosphate,,,,,2016-11-22T15:12:30Z,,3136,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3136/?format=pcsv
2hdec9eg3p,,,-1,C19H36O7P1,[],,2-hexadec-9-enoyl-sn-glycerol 3-phosphate,,2-hexadec-9-enoyl-sn-glycerol 3-phosphate,,,,,2016-11-22T15:12:29Z,,3137,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3137/?format=pcsv
2odecg3p,,,-1,C21H42O7P1,[],,2-octadecanoyl-sn-glycerol 3-phosphate,,2-octadecanoyl-sn-glycerol 3-phosphate,,,,,2016-11-22T15:12:30Z,,3138,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3138/?format=pcsv
2odec11eg3p,,,-1,C21H40O7P1,[],,2-octadec-11-enoyl-sn-glycerol 3-phosphate,,2-octadec-11-enoyl-sn-glycerol 3-phosphate,,,,,2016-11-22T15:12:30Z,,3139,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3139/?format=pcsv
2agpe120,,,0,C17H36NO7P1,[],,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),,,,,2016-11-22T15:12:38Z,,3140,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3140/?format=pcsv
2agpe140,,,0,C19H40NO7P1,[],,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),,,,,2016-11-22T15:12:38Z,,3141,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3141/?format=pcsv
2agpe141,,,0,C19H38NO7P1,[],,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),,,,,2016-11-22T15:12:38Z,,3142,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3142/?format=pcsv
2agpe160,,,0,C21H44NO7P1,[],,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),,,,,2016-11-22T15:12:38Z,,3143,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3143/?format=pcsv
2agpe161,,,0,C21H42NO7P1,[],,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),,,,,2016-11-22T15:12:38Z,,3144,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3144/?format=pcsv
2agpe180,,,0,C23H48NO7P1,[],,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),,,,,2016-11-22T15:12:38Z,,3145,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3145/?format=pcsv
2agpe181,,,0,C23H46NO7P1,[],,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),,,,,2016-11-22T15:12:38Z,,3146,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3146/?format=pcsv
2agpg120,,,-1,C18H36O9P1,[],,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),,,,,2016-11-22T15:12:38Z,,3147,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3147/?format=pcsv
2agpg140,,,-1,C20H40O9P1,[],,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),,,,,2016-11-22T15:12:38Z,,3148,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3148/?format=pcsv
2agpg141,,,-1,C20H38O9P1,[],,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),,,,,2016-11-22T15:12:38Z,,3149,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3149/?format=pcsv
2agpg160,,,-1,C22H44O9P1,[],,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),,,,,2016-11-22T15:12:38Z,,3150,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3150/?format=pcsv
2agpg161,,,-1,C22H42O9P1,[],,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),,,,,2016-11-22T15:12:38Z,,3151,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3151/?format=pcsv
2agpg180,,,-1,C24H48O9P1,[],,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),,,,,2016-11-22T15:12:38Z,,3152,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3152/?format=pcsv
2agpg181,,,-1,C24H46O9P1,[],,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),,,,,2016-11-22T15:12:38Z,,3153,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3153/?format=pcsv
thrp,,,-2,C4H8NO6P,[],,L-Threonine O-3-phosphate,,L-Threonine O-3-phosphate,,,,,2016-11-22T15:12:44Z,,3154,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3154/?format=pcsv
mnl1p,,,-2,C6H13O9P,[],,D-Mannitol 1-phosphate,,D-Mannitol 1-phosphate,,,,,2016-11-22T15:12:42Z,,3155,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3155/?format=pcsv
madg,,,0,C7H14O6,[],,alpha-Methyl-D-glucoside,,alpha-Methyl-D-glucoside,,,,,2016-11-22T15:12:35Z,,3156,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3156/?format=pcsv
mal_D,,,-2,C4H4O5,[],,D-Malate,,D-Malate,,,,,2016-11-22T15:12:42Z,,3157,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3157/?format=pcsv
malt6p,,,-2,C12H21O14P,[],,Maltose 6-phosphate,,Maltose 6-phosphate,,,,,2016-11-22T15:12:42Z,,3158,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3158/?format=pcsv
acmalt,,,0,C14H24O12,[],,Acetyl-maltose,,Acetyl-maltose,,,,,2016-11-22T15:12:31Z,,3159,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3159/?format=pcsv
mantr,,,0,C18H32O16,[],,"mannotriose (beta-1,4)",,"mannotriose (beta-1,4)",,,,,2016-11-22T15:12:42Z,,3160,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3160/?format=pcsv
mbdg,,,0,C7H14O6,[],,beta-Methylglucoside,,beta-Methylglucoside,,,,,2016-11-22T15:12:42Z,,3161,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3161/?format=pcsv
5mtc,,,0,C5H7N3O,[],,5-Methylcytosine,,5-Methylcytosine,,,,,2016-11-22T15:12:31Z,,3162,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3162/?format=pcsv
2mecdp,,,-2,C5H10O9P2,[],,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",,,,,2016-11-22T15:12:30Z,,3163,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3163/?format=pcsv
melt,,,-1,C9H9O3,[],,Melilotate,,Melilotate,,,,,2016-11-22T15:12:42Z,,3164,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3164/?format=pcsv
achms,,,0,C6H11NO4,[],,O-Acetyl-L-homoserine,,O-Acetyl-L-homoserine,,,,,2016-11-22T15:12:31Z,,3165,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3165/?format=pcsv
mana,,,-1,C6H11O7,[],,D-Mannonate,,D-Mannonate,,,,,2016-11-22T15:12:42Z,,3166,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3166/?format=pcsv
lipidA,,,-4,C68H126N2O23P2,[],,"2,3,23-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4-bisphosphate",,"2,3,23-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4-bisphosphate",,,,,2016-11-22T15:12:35Z,,3167,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3167/?format=pcsv
phphhlipa,,,-10,C131H230N2O63P4,[],,phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA,,phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA,,,,,2016-11-22T15:12:36Z,,3168,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3168/?format=pcsv
kphphhlipa,,,-11,C139H241N2O70P4,[],,kdo-phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA,,kdo-phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA,,,,,2016-11-22T15:12:35Z,,3169,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3169/?format=pcsv
5mtr,,,0,C6H12O4S,[],,5-Methylthio-D-ribose,,5-Methylthio-D-ribose,,,,,2016-11-22T15:12:31Z,,3170,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3170/?format=pcsv
mucl,,,-1,C6H5O4,18080,,mucolactone,,mucolactone,,,,,2016-11-22T15:12:42Z,,3171,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3171/?format=pcsv
dmbzid,,,0,C9H10N2,[],,"5,6-Dimethylbenzimidazole",,"5,6-Dimethylbenzimidazole",,,,,2016-11-22T15:12:33Z,,3172,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3172/?format=pcsv
5prdmbz,,,-2,C14H17N2O7P,[],,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",,,,,2016-11-22T15:12:31Z,,3173,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3173/?format=pcsv
2oph,,,0,C46H70O,[],,2-Octaprenylphenol,,2-Octaprenylphenol,,,,,2016-11-22T15:12:30Z,,3174,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3174/?format=pcsv
2ohph,,,0,C46H70O2,[],,2-Octaprenyl-6-hydroxyphenol,,2-Octaprenyl-6-hydroxyphenol,,,,,2016-11-22T15:12:30Z,,3175,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3175/?format=pcsv
sbzcoa,,,-5,C32H39N7O20P3S,[],,O-Succinylbenzoyl-CoA,,O-Succinylbenzoyl-CoA,,,,,2016-11-22T15:12:37Z,,3176,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3176/?format=pcsv
14dhnptcoa,,,-4,C32H38N7O19P3S,52668,,"1,4-Dihydroxy-2-naphthoyl-CoA",,"1,4-Dihydroxy-2-naphthoyl-CoA",,,,,2016-11-17T15:26:25Z,,3177,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3177/?format=pcsv
ohpb,,,-3,C4H4O8P,[],,2-Oxo-3-hydroxy-4-phosphobutanoate,,2-Oxo-3-hydroxy-4-phosphobutanoate,,,,,2016-11-22T15:12:35Z,,3178,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3178/?format=pcsv
3oxoadp,,,-2,C6H6O5,37440,,3-Oxoadipate,,3-Oxoadipate,,,,,2016-11-22T15:12:39Z,,3179,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3179/?format=pcsv
uGgla,,,-3,C40H62N9O26P2,[],,UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,,UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,,,,,2016-11-22T15:12:38Z,,3180,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3180/?format=pcsv
uaGgla,,,-3,C86H140N7O21P2,[],,Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,,Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,,,,,2016-11-22T15:12:38Z,,3181,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3181/?format=pcsv
ugmda,,,-4,C41H61N9O28P2,[],,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",,,,,2016-11-22T15:12:38Z,,3182,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3182/?format=pcsv
uagmda,,,-4,C87H139N7O23P2,[],,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",,,,,2016-11-22T15:12:38Z,,3183,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3183/?format=pcsv
pre4,,,-8,C44H44N4O17,[],,Precorrin 4,,Precorrin 4,,,,,2016-11-22T15:12:36Z,,3184,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3184/?format=pcsv
pre5,,,-8,C45H46N4O17,[],,Precorrin 5,,Precorrin 5,,,,,2016-11-22T15:12:36Z,,3185,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3185/?format=pcsv
pre3b,,,-6,C43H44N4O17,[],,Precorrin 3B,,Precorrin 3B,,,,,2016-11-22T15:12:36Z,,3186,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3186/?format=pcsv
dscl,,,-7,C42H41N4O16,[],,dihydrosirohydrochlorin,,dihydrosirohydrochlorin,,,,,2016-11-22T15:12:33Z,,3187,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3187/?format=pcsv
pre3a,,,-7,C43H43N4O16,[],,Precorrin 3 A,,Precorrin 3 A,,,,,2016-11-22T15:12:36Z,,3188,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3188/?format=pcsv
pre6a,,,-7,C44H47N4O16,[],,Precorrin 6A,,Precorrin 6A,,,,,2016-11-22T15:12:36Z,,3189,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3189/?format=pcsv
pre6b,,,-7,C44H49N4O16,[],,Precorrin 6B,,Precorrin 6B,,,,,2016-11-22T15:12:36Z,,3190,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3190/?format=pcsv
pre8,,,-7,C45H53N4O14,[],,Precorrin 8,,Precorrin 8,,,,,2016-11-22T15:12:37Z,,3191,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3191/?format=pcsv
hgbyr,,,-6,C45H54N4O14,[],,Hydrogenobyrinate,,Hydrogenobyrinate,,,,,2016-11-22T15:12:34Z,,3192,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3192/?format=pcsv
3a2opp,,,-1,C3H7NO5P,1449,,3-Amino-2-oxopropyl phosphate,,3-Amino-2-oxopropyl phosphate,,,,,2016-11-22T15:12:30Z,,3193,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3193/?format=pcsv
PGPm1,,,0,X,,,Peptidoglycan polymer (n-1 subunits),,Peptidoglycan polymer (n-1 subunits),,,,,2016-11-22T15:12:43Z,,3194,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3194/?format=pcsv
udcpdp,,,-3,C55H89O7P2,[],,Undecaprenyl diphosphate,,Undecaprenyl diphosphate,,,,,2016-11-22T15:12:38Z,,3195,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3195/?format=pcsv
PGP,,,0,C39H64N8O19X,,,Peptidoglycan polymer (n subunits),,Peptidoglycan polymer (n subunits),,,,,2016-11-22T15:12:36Z,,3196,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3196/?format=pcsv
tagdp_D,,,-4,C6H10O12P2,[],,"D-Tagatose 1,6-biphosphate",,"D-Tagatose 1,6-biphosphate",,,,,2016-11-22T15:12:43Z,,3197,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3197/?format=pcsv
pgp120,,,-3,C30H57O13P2,[],,"Phosphatidylglycerophosphate (didodecanoyl, n-C12:0)",,"Phosphatidylglycerophosphate (didodecanoyl, n-C12:0)",,,,,2016-11-22T15:12:36Z,,3198,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3198/?format=pcsv
pg120,,,-1,C30H58O10P1,[],,"Phosphatidylglycerol (didodecanoyl, n-C12:0)",,"Phosphatidylglycerol (didodecanoyl, n-C12:0)",,,,,2016-11-22T15:12:36Z,,3199,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3199/?format=pcsv
pgp140,,,-3,C34H65O13P2,[],,"Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)",,"Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)",,,,,2016-11-22T15:12:36Z,,3200,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3200/?format=pcsv
pgp141,,,-3,C34H61O13P2,[],,"Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)",,"Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)",,,,,2016-11-22T15:12:36Z,,3201,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3201/?format=pcsv
pg141,,,-1,C34H62O10P1,[],,"Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)",,"Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)",,,,,2016-11-22T15:12:36Z,,3202,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3202/?format=pcsv
pgp160,,,-3,C38H73O13P2,[],,"Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)",,"Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)",,,,,2016-11-22T15:12:36Z,,3203,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3203/?format=pcsv
pgp161,,,-3,C38H69O13P2,[],,"Phosphatidylglycerophosphate (dihexadec-9-enoyl, n-C16:1)",,"Phosphatidylglycerophosphate (dihexadec-9-enoyl, n-C16:1)",,,,,2016-11-22T15:12:36Z,,3204,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3204/?format=pcsv
pg161,,,-1,C38H70O10P1,[],,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",,,,,2016-11-22T15:12:36Z,,3205,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3205/?format=pcsv
pgp180,,,-3,C42H81O13P2,[],,"Phosphatidylglycerophosphate (dioctadecanoyl, n-C18:0)",,"Phosphatidylglycerophosphate (dioctadecanoyl, n-C18:0)",,,,,2016-11-22T15:12:36Z,,3206,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3206/?format=pcsv
pgp181,,,-3,C42H77O13P2,[],,"Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)",,"Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)",,,,,2016-11-22T15:12:36Z,,3207,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3207/?format=pcsv
pg181,,,-1,C42H78O10P1,[],,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)",,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)",,,,,2016-11-22T15:12:36Z,,3208,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3208/?format=pcsv
pgpai15,,,-3,C36H69O13P2,[],,"Phosphatidylglycerophosphate (12-methyl-tetradecanoyl, anteiso-C15)",,"Phosphatidylglycerophosphate (12-methyl-tetradecanoyl, anteiso-C15)",,,,,2016-11-22T15:12:36Z,,3209,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3209/?format=pcsv
pgpai17,,,-3,C40H77O13P2,[],,"Phosphatidylglycerophosphate (14-methyl-hexadecanoyl, anteiso-C17)",,"Phosphatidylglycerophosphate (14-methyl-hexadecanoyl, anteiso-C17)",,,,,2016-11-22T15:12:36Z,,3210,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3210/?format=pcsv
pgpi14,,,-3,C34H65O13P2,[],,"Phosphatidylglycerophosphate (12-methyltridecanoyl, iso-C14)",,"Phosphatidylglycerophosphate (12-methyltridecanoyl, iso-C14)",,,,,2016-11-22T15:12:43Z,,3211,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3211/?format=pcsv
pgpi15,,,-3,C36H69O13P2,[],,"Phosphatidylglycerophosphate (13-methyltetradecanoyl, iso-C15)",,"Phosphatidylglycerophosphate (13-methyltetradecanoyl, iso-C15)",,,,,2016-11-22T15:12:43Z,,3212,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3212/?format=pcsv
pgpi16,,,-3,C38H73O13P2,[],,"Phosphatidylglycerophosphate (14-methylpentadecanoyl, iso-C16)",,"Phosphatidylglycerophosphate (14-methylpentadecanoyl, iso-C16)",,,,,2016-11-22T15:12:43Z,,3213,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3213/?format=pcsv
pgpi17,,,-3,C40H77O13P2,[],,"Phosphatidylglycerophosphate (15-methyl-hexadecanoyl, iso-C17)",,"Phosphatidylglycerophosphate (15-methyl-hexadecanoyl, iso-C17)",,,,,2016-11-22T15:12:43Z,,3214,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3214/?format=pcsv
amopbut_L,,,-2,C4H6NO7P,77851,,2-Amino-3-oxo-4-phosphonooxybutyrate,,2-Amino-3-oxo-4-phosphonooxybutyrate,,,,,2016-11-22T15:12:40Z,,3215,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3215/?format=pcsv
pe120,,,0,C29H58N1O8P1,[],,"phosphatidylethanolamine (didodecanoyl, n-C12:0)",,"phosphatidylethanolamine (didodecanoyl, n-C12:0)",,,,,2016-11-22T15:12:36Z,,3216,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3216/?format=pcsv
pe140,,,0,C33H66N1O8P1,[],,"phosphatidylethanolamine (ditetradecanoyl, n-C14:0)",,"phosphatidylethanolamine (ditetradecanoyl, n-C14:0)",,,,,2016-11-22T15:12:36Z,,3217,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3217/?format=pcsv
pe141,,,0,C33H62N1O8P1,[],,"phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)",,"phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)",,,,,2016-11-22T15:12:36Z,,3218,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3218/?format=pcsv
pe160,,,0,C37H74N1O8P1,[],,"phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",,"phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",,,,,2016-11-22T15:12:36Z,,3219,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3219/?format=pcsv
pe161,,,0,C37H70N1O8P1,[],,"phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",,"phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",,,,,2016-11-22T15:12:36Z,,3220,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3220/?format=pcsv
pe180,,,0,C41H82N1O8P1,[],,"phosphatidylethanolamine (dioctadecanoyl, n-C18:0)",,"phosphatidylethanolamine (dioctadecanoyl, n-C18:0)",,,,,2016-11-22T15:12:36Z,,3221,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3221/?format=pcsv
pe181,,,0,C41H78N1O8P1,[],,"phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",,"phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",,,,,2016-11-22T15:12:36Z,,3222,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3222/?format=pcsv
ppap,,,-2,C3H5O5P,[],,Propanoyl phosphate,,Propanoyl phosphate,,,,,2016-11-22T15:12:36Z,,3223,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3223/?format=pcsv
prbamp,,,-4,C15H19N5O14P2,[],,1-(5-Phosphoribosyl)-AMP,,1-(5-Phosphoribosyl)-AMP,,,,,2016-11-22T15:12:36Z,,3224,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3224/?format=pcsv
prfp,,,-4,C15H21N5O15P2,[],,1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide,,1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide,,,,,2016-11-22T15:12:37Z,,3225,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3225/?format=pcsv
rb15bp,,,-4,C5H8O11P2,[],,"D-Ribulose 1,5-bisphosphate",,"D-Ribulose 1,5-bisphosphate",,,,,2016-11-22T15:12:37Z,,3226,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3226/?format=pcsv
skm5p,,,-3,C7H8O8P,[],,Shikimate 5-phosphate,,Shikimate 5-phosphate,,,,,2016-11-22T15:12:37Z,,3227,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3227/?format=pcsv
ps120,,,-1,C30H57N1O10P1,0,,"phosphatidylserine (didodecanoyl, n-C12:0)",,"phosphatidylserine (didodecanoyl, n-C12:0)",,,,,2016-11-22T15:12:37Z,,3228,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3228/?format=pcsv
ps140,,,-1,C34H65N1O10P1,[],,"phosphatidylserine (ditetradecanoyl, n-C14:0)",,"phosphatidylserine (ditetradecanoyl, n-C14:0)",,,,,2016-11-22T15:12:37Z,,3229,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3229/?format=pcsv
ps141,,,-1,C34H61N1O10P1,[],,"phosphatidylserine (ditetradec-7-enoyl, n-C14:1)",,"phosphatidylserine (ditetradec-7-enoyl, n-C14:1)",,,,,2016-11-22T15:12:37Z,,3230,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3230/?format=pcsv
ps160,,,-1,C38H73N1O10P1,[],,"phosphatidylserine (dihexadecanoyl, n-C16:0)",,"phosphatidylserine (dihexadecanoyl, n-C16:0)",,,,,2016-11-22T15:12:37Z,,3231,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3231/?format=pcsv
ps161,,,-1,C38H69N1O10P1,[],,"phosphatidylserine (dihexadec-9-enoyl, n-C16:1)",,"phosphatidylserine (dihexadec-9-enoyl, n-C16:1)",,,,,2016-11-22T15:12:37Z,,3232,,,,,,,,,http://vmh.uni.lu/_api/metabolites/3232/?format=pcsv
